Journal Title,2022 rating,Publisher,ISSN,ISSN Online,Year Inception,FoR
Australian Journal of Actuarial Practice (formerly Australian Actuarial Journal),C,Institute of Actuaries of Australia,2203-2290,2203-5354,1997,3502
Australian Journal of Asian Law,C,Federation Press,1443-0738,,2000,4801
Australian Journal of Business and Management Research,C,New South Wales Research Centre Australia,,1839-0846,2011,3501
Australian Journal of Career Development,B,Sage Publications,1038-4162,2200-6974,1992,3505
Australian Journal of Competition and Consumer Law (formerly Trade Practices Law Journal),B,Thomson Reuters,1838-9260,,1993,4801
Australian Journal of Corporate Law,A,LexisNexis,1037-4124,,1991,4801
Australian Journal of Environmental Education,B,Cambridge University Press,0814-0626,2049-775X,1984,3507
Australian Journal of Human Rights,C,University of New South Wales,1323-238X,2573-573X,1994,3599
Australian Journal of International Affairs,A,Taylor & Francis Online,1035-7718,1465-332X,1947,3599
Australian Journal of Labour Economics: a journal of labour economics and labour relations,B,Centre for Labour Market Research,1328-1143,,1989,3801
Australian Journal of Labour Law,A,LexisNexis,1030-7222,,1988,4801
Australian Journal of Management,A,Sage Publications,0312-8962,1327-2020,1976,3502
Australian Journal of Political Science,A,Taylor & Francis Online,1036-1146,1363-030X,1956,3599
Australian Journal of Psychology,B,Wiley-Blackwell Publishing,0004-9530,1742-9536,1949,3507
Australian Journal of Public Administration,A,Wiley-Blackwell Publishing,0313-6647,1467-8500,1937,3599
Australian Journal of Social Issues,B,Wiley-Blackwell Publishing,0157-6321,0004-9557,1961,3507
Australian Law Journal,A,Thomson Reuters,0004-9611,,1927,4801
Australian Property Law Journal,B,University of Western Australia,1038-5959,,1993,4801
Australian Psychologist,B,Wiley-Blackwell Publishing,0005-0067,1742-9544,1966,3507
Australian Review of Public Affairs,C,The University of Sydney,1832-1526,,2000,3599
Australian Tax Forum,A*,Tax Institute,0812-695X,,1984,4801
Australian Tax Law Bulletin,C,LexisNexis,2203-9481,,2014,4801
Australian Tax Review,A,Thomson Reuters,0311-094X,,1971,4801
Austrian Economic Quarterly,C,Austrian Institute of Economic Research,1025-6954,1605-4709,1996,3899
Automation in Construction,A*,Elsevier,0926-5805,1872-7891,1992,3504
Baltic Journal of Economics,C,Taylor & Francis Online,1406-099X,2334-4385,2000,3801
Baltic Journal of Management,C,Emerald Group Publishing,1746-5265,1746-5273,2006,3507
