Journal Title,2022 rating,Publisher,ISSN,ISSN Online,Year Inception,FoR
The Indonesian Journal of Accounting Research,C,Indonesian Institute of Accountants -Compartment of Accounting Educators,2086-6887,2655-1748,1997,3501
Information Management,B,Association of Records Managers and Administrators (ARMA) International,1535-2897,1050-2343,1967,4609
The Information Society,A,Taylor & Francis Online,0197-2243,1087-6537,,4609
The International Journal of Accounting,A,World Scientific Publishing,1094-4060,2213-3933,1965,3501
The International Journal of Comparative Labour Law and Industrial Relations,B,Kluwer Law International,0952-617X,1875-838X,1983,4801
The International Journal of Digital Accounting Research,B,Rutgers University,1577-8517,,2001,3501
"The International Journal of Environmental, Cultural, Economic and Social Sustainability: Annual Review",C,Common Ground Publishing Pty Ltd,1832-2077,1832-2077,2004,3507
The International Journal of Logistics Management,A,Emerald Group Publishing,0957-4093,1758-6550,1990,3509
The International Journal of Management Education,C,Elsevier,1472-8117,1472-8117,2000,3507
The IUP Journal of Agricultural Economics,C,IUP Publications,0973-2276,,2004,3899
The IUP Journal of Applied Economics (previously ICFAI),C,IUP Publications,0972-6861,,2002,3801
The IUP Journal of Managerial Economics,C,IUP Publications,0972-9305,,2003,3899
The IUP Journal of Monetary Economics (previously ICFAI),C,IUP Publications,0972-9291,,2003,3801
The IUP Journal of Public Finance,C,IUP Publications,0972-9356,,2003,3801
The Japanese Political Economy,B,Taylor & Francis Online,2329-194X,2329-1958,1972,3801
The Journal of Alternative Investments,B,Pageant Media,1520-3255,1520-3255,1998,3502
The Journal of Applied Behavioral Science,B,Sage Publications,0021-8863,1552-6879,1965,3507
The Journal of Asset Management,B,Springer International Publishing,1470-8272,1479-179X,2000,3502
The Journal of Derivatives,A,Pageant Media,1074-1240,,1993,3502
The Journal of Development Effectiveness,C,Taylor & Francis Online,1943-9342,1943-9407,2009,3801
The Journal of Econometric Study of Northeast Asia (JESNA),C,"Economic Research Institute for Northeast Asia Kitakyusyu: International Centre for the Study of East Asian Development, Niigata, Japan",1880-6988,,1995,3802
The Journal of Economic Asymmetries,B,Elsevier,1703-4949,,2004,3801
The Journal of Economic Education,B,Taylor & Francis Online,0022-0485,2152-4068,1969,3801
The Journal of Economic History,A*,Cambridge University Press,0022-0507,1471-6372,1941,3801
The Journal of Economic Inequality,A,Springer International Publishing,1569-1721,1573-8701,2003,3801
The Journal of Finance,A*,American Finance Association,0022-1082,1540-6261,1946,3502
The Journal of Fixed Income,A,Pageant Media,1059-8596,,1991,3502
The Journal of Futures Markets,A,Wiley-Blackwell Publishing,0270-7314,1096-9934,1981,3502
The Journal of Gambling Business and Economics,B,University of Buckingham Press,1751-7990,1751-8008,2007,3801
The Journal of High Technology Management Research,C,Elsevier,1047-8310,1879-1638,1990,3503
The Journal of Hospitality Financial Management,C,Taylor & Francis Online,1091-3211,2152-2790,1991,3504
The Journal of Industrial Economics,A,Wiley-Blackwell Publishing,0022-1821,1467-6451,1952,3801
The Journal of International Maritime Law,C,Lawtext Publishing,1478-8586,,1994,4801
The Journal of International Trade and Economic Development: an international and comparative review,B,Taylor & Francis Online,0963-8199,1469-9559,1992,3801
The Journal of Law and Economics,A*,University of Chicago Law School,0022-2186,1537-5285,1958,3801
The Journal of Pacific Studies,C,University of South Pacific,1011-3029,,1978,3899
The Journal of Portfolio Management,A,Pageant Media,0095-4918,,1975,3502
The Journal of Prediction Markets,B,University of Buckingham Press,1750-676X,,2007,3801
The Journal of Private Equity,C,Institutional Investor Journals Group,1096-5572,,1997,3502
The Journal of Risk Finance,B,Emerald Group Publishing,1526-5943,,2000,3502
The Journal of Risk Model Validation,C,Risk Waters Group.,1753-9579,1753-9587,,3502
The Journal of Structured Finance,C,Pageant Media,1551-9783,1551-9783,1995,3502
The Journal of Theoretical Accounting Research,B,"Iona College, Hagan School of Business",1556-5106,,2005,3501
The Journal of Trading,C,Institutional Investor Journals Group,1559-3967,,2006,3502
The Journal of Wealth Management,B,Pageant Media,1534-7524,,1998,3502
The Journal of World Intellectual Property,C,Wiley-Blackwell Publishing,1422-2213,1747-1796,1990,4801
The Leadership Quarterly,A*,Elsevier,1048-9843,1873-3409,1990,3507
The Learning Organization,C,Emerald Publishing,0969-6474,1758-7905,1994,3507
The Marketing Review,C,Westburn Publishers Ltd,1469-347X,1472-1384,2000,3506
The Milbank Quarterly,B,Wiley-Blackwell Publishing,0887-378X,1468-0009,1923,3599
The Modern Law Review,A*,Wiley-Blackwell Publishing,0026-7961,1468-2230,1937,4801
The North American Journal of Economics and Finance,B,Elsevier,1062-9408,1879-0860,1988,3801
The Pacific Review,A,Taylor & Francis Online,0951-2748,1470-1332,,3599
The Quarterly Journal of Austrian Economics,C,Springer International Publishing,1098-3708,1936-4806,1987,3801
The Quarterly Journal of Economics,A*,MIT Press,0033-5533,1531-4650,1886,3801
The Review of Austrian Economics,C,Springer International Publishing,0889-3047,1573-7128,1986,3801
The Review of Black Political Economy,C,Springer International Publishing,0034-6446,1936-4814,1970,3801
The Review of Economic Studies,A*,Oxford University Press,0034-6527,1467-937X,1933,3801
The Review of Economics and Statistics,A*,The MIT Press,0034-6535,1530-9142,1917,3801
The Review of Financial Studies,A*,Oxford University Press,0893-9454,1465-7368,1988,3502
The Review of Network Economics,B,De Gruyter,1446-9022,,2002,3801
The Social Science Journal,C,Elsevier,0362-3319,1873-5355,1963,3599
The Sociological Review,A,Sage Publications,0038-0261,1467-954X,1908,3507
The Sydney Law Review,A*,Sydney Law School,0082-0512,,1953,4801
The Tax Lawyer,B,American Bar Association,0040-005X,,1947,4801
The TQM Journal,B,Emerald Group Publishing,1754-2731,1754-274X,1998,3507
The UNE Law Journal,C,University of New England,1449-2199,,2004,4801
The World Bank Economic Review,A,Oxford University Press,0258-6770,1564-698X,1986,3801
The World Economy,A,Wiley-Blackwell Publishing,0378-5920,1467-9701,1968,3801
The Yale Law Journal,A*,"The Yale Law Journal Company, Inc.",0044-0094,1939-8611,1891,4801
Theoretical and Applied Economics,C,General Association of Economists from Romania,1841-8678,1844-0029,1994,3803
Theoretical Economics,A*,The Econometric Society,1933-6837,1555-7561,2006,3803
Theory and Decision: an international journal for multidisciplinary advances in decision sciences,A,Springer International Publishing,0040-5833,1573-7187,1970,3803
Theory of Probability and its Applications,A,SIAM Publications Online,0040-585X,1095-7219,1956,4905
"Theory, Culture and Society",A,Sage Publications,0263-2764,1460-3616,1982,3507
Third Sector Review,C,Australia and New Zealand Third Sector Research Inc. (ANZTSR),1323-9163,1839-5937,1995,3507
Third World Quarterly,A,Taylor & Francis Online,0413-6597,1360-2241,1979,3599
Thunderbird International Business Review,B,Wiley-Blackwell Publishing,1096-4762,1520-6874,1959,3507
Tijdschrift voor Economische en Sociale Geografie,B,Wiley-Blackwell Publishing,,1467-9663,1910,3801
Time and Society,B,Sage Publications,0961-463X,1461-7463,1992,3507
Tobacco Control,B,BMJ Publishing Group,0964-4563,1468-3318,1992,3506
Tort Law Review,A,Thomson Reuters,1039-3285,,1993,4801
Torts Law Journal,A,LexisNexis,1038-5967,,1993,4801
Total Quality Management and Business Excellence,C,Taylor & Francis Online,1478-3363,1478-3371,1996,3505
Tourism Analysis,A,Cognizant Communication Corporation,1083-5423,1943-3999,1996,3508
Tourism and Hospitality Research,B,Sage Publications,1467-3584,1742-9692,1999,3508
Tourism Economics,A,Sage Publications,1354-8166,2044-0375,1995,3508
Tourism Geographies,A,Taylor & Francis Online,1461-6688,1470-1340,1999,3508
Tourism in Marine Environments,C,Cognizant Communication Corporation,1544-273X,2169-0197,2004,3508
Tourism Management,A*,Elsevier,0261-5177,1879-3193,1983,3508
Tourism Management Perspectives,A,Elsevier,2211-9736,,2012,3508
Tourism Planning & Development,B,Taylor & Francis Online,2156-8316,2156-8324,2004,3508
Tourism Recreation Research,A,Taylor & Francis Online,0250-8281,2320-0308,1976,3508
Tourism Research Journal,C,Mahatma Gandhi University,0972-7191,,,3508
Tourism Review,B,Emerald Group Publishing,1660-5373,1759-8451,2001,3508
Tourism Review International,C,Cognizant Communication Corporation,1544-2721,1943-4421,2000,3508
"Tourism, Culture and Communication",C,Cognizant Communication Corporation,1098-304X,1943-4146,1998,3508
Tourism: An International Interdisciplinary Journal,C,Institute for Tourism,1332-7461,1849-1545,1956,3508
Tourismus Journal,C,Lucius & Lucius Verlagsgesellschaft mbH,1433-5948,,1997,3508
Tourist Studies,B,Sage Publications,1468-7976,1741-3206,2001,3508
Transfer: European review of labour and research,C,Sage Publications,1024-2589,1996-7284,1995,3505
Transformations in Business and Economics,C,Vilnius University,1648-4460,,2002,3801
"Transforming Government: People, Process and Policy",B,Emerald Group Publishing Limited,1750-6166,1750-6174,2007,4609
Transnational Corporations Review,C,Taylor & Francis Online,1918-6444,1925-2099,2009,3801
Transport Policy,A,Elsevier,0967-070X,1879-310X,1993,3509
Transport Reviews,A,Taylor & Francis Online,0144-1647,1464-5327,1981,3509
Transportation,A,Springer International Publishing,0049-4488,1572-9435,1972,3509
Transportation Journal,B,University of Pennsylvania Press,0041-1612,2157-328X,1961,3509
Transportation Law Journal,C,University of Denver College of Law,0049-450X,,1969,3509
Transportation Letters,B,Taylor & Francis Online,1942-7867,1942-7875,2009,3509
Transportation Planning and Technology,B,Taylor & Francis Online,0308-1060,1029-0354,1972,3509
Transportation Research Part A: Policy and Practice,A*,Elsevier,0965-8564,1879-2375,1967,3509
Transportation Research Part B: Methodological,A*,Elsevier,0191-2615,1879-2367,1979,3509
Transportation Research Part C: Emerging Technologies,A*,Elsevier,0968-090X,1879-2359,1993,3509
Transportation Research Part D: Transport and Environment,A,Elsevier,1361-9209,1879-2340,1996,3509
Transportation Research Part E: Logistics and Transportation Review,A*,Elsevier,1366-5545,1878-5794,1964,3509
Transportation Research Part F: Traffic Psychology and Behaviour,A,Elsevier,1369-8478,1873-5517,1998,3509
Transportation Research Record,B,National Academy of Sciences,0361-1981,2169-4052,1974,3509
Transportation Science,A,The Institute for Operations Research and the Management Sciences (INFORMS),0041-1655,1526-5447,1967,3509
Transportmetrica A: Transport Science,B,Taylor & Francis Online,2324-9935,2324-9943,2005,3509
Transportmetrica B: Transport Dynamics,B,Taylor & Francis Online,2168-0566,2168-0582,2013,3509
Travel and Tourism Analyst,C,Economist Publications,0269-3755,,1987,3508
Travel Behaviour and Society,B,Elsevier,2214-367X,,2014,3508
Tulane Maritime Law Journal,A,Tulane University Law School,1048-3748,,1975,4801
UBC Law Review,B,University of British Columbia,0068-1849,,1949,4801
UCLA Pacific Basin Law Journal,B,UCLA School of Law,0884-0768,,1982,4801
Universal Access in the Information Society,C,Springer International Publishing,1615-5289,1615-5297,2001,4609
University of Chicago Law Review,A*,University of Chicago Law School,0041-9494,1939-859X,1933,4801
University of Miami Business Law Review,C,University of Miami,1047-2819,,1990,4801
University of New South Wales Law Journal,A,University of New South Wales,0313-0096,,1975,4801
University of Pennsylvania Journal of Business Law,C,University of Pennsylvania Law School,1940-8064,,1998,4801
University of Queensland Law Journal,B,University of Queensland Press,0083-4041,,1948,4801
University of San Francisco Maritime Law Journal,B,University of San Francisco,1061-3331,,1989,4801
University of Tasmania Law Review,B,University of Tasmania,0082-2108,,1958,4801
University of Toronto Law Journal,A,University of Toronto Press,0042-0220,1710-1174,1935,4801
University of Western Australia Law Review,B,The University of Western Australia,0042-0328,,1948,4801
University of Western Sydney Law Review,C,University of Western Sydney,1446-9294,,1997,4801
UNLV Gaming Research and Review Journal,B,University of Nevada,1535-7589,,1994,3504
Urban Affairs Review,B,Sage Publications,1078-0874,1552-8332,1965,3599
Urban Studies: an international journal for research in urban studies,A*,Sage Publications,0042-0980,1360-063X,1964,3599
US Bureau of Labor Statistics: Monthly Labor Review,B,US Bureau of Labor Statistics,0098-1818,1937-4658,1915,3599
Vanderbilt Journal of Transnational Law,B,Vanderbilt University,0090-2594,,1967,4801
Variance: advancing the science of risk,C,Casualty Actuarial Society,1940-6444,1940-6452,2007,3502
Venture Capital,B,Taylor & Francis Online,1369-1066,1464-5343,1999,3502
Victoria University of Wellington Law Review,B,"Victoria University of Wellington, Law Faculty",1171-042X,,1953,4801
Vietnam's Socio-Economic Development,C,The Vietnam Institute of Economics,0868-359X,,1995,3801
Villanova Journal of Law and Investment Management,C,Villanova University,1523-5513,1523-5513,1999,4801
Vindobona Journal of International Commercial Law and Arbitration,C,Moot Alumni Association,1439-9741,,1998,4801
VINE Journal of Information and Knowledge Management Systems,B,Emerald Group Publishing,2059-5891,,1971,4609
Virginia Tax Review,A,University of Virginia School of Law,0735-9004,,1981,4801
Vision: The Journal of Business Perspectives,C,Sage Publications,0972-2629,2249-5304,1997,3507
Visitor Studies,A,Taylor & Francis Online,1064-5578,1934-7715,1988,3508
Voluntas: International Journal of Voluntary and Non-Profit Organizations,B,Springer International Publishing,0957-8765,1573-7888,1990,3507
Waikato Law Review,C,Waikato University,1172-9597,,1993,4801
Washington International Law Journal,B,University of Washington School of Law,1066-8632,,1992,4801
"Washington Journal of Law, Technology & Arts",C,University of Washington School of Law,1547-0695,2157-2534,2004,4801
Water Resources Research,A,Wiley-Blackwell Publishing,0043-1397,1944-7973,1965,3599
West European Politics,B,Taylor & Francis Online,0140-2382,1743-9655,1978,3599
Western Economics Forum,C,Western Agricultural Economics Association,1550-4980,,2002,3801
Western Journal of Communication,C,Taylor & Francis Online,1057-0314,1745-1027,1992,3599
"Work & Stress: An international Journal of Work, Health and Organisations",A,Taylor & Francis Online,0267-8373,1464-5335,1987,3505
Work and Occupations,A,Sage Publications,0730-8884,1552-8464,1974,3505
"Work, Employment and Society",A,Sage Publications,0950-0170,1469-8722,1987,3505
World Bank Research Observer,B,Oxford University Press,0257-3032,1564-6971,1986,3801
World Competition Law and Economics Review,C,Kluwer Law International,1011-4548,1875-8436,1977,4801
World Development,A,Elsevier,0305-750X,1873-5991,1973,3801
World Economics,B,World Economics Limited,1468-1838,1474-3884,2000,3801
World Journal of Management and Economics,C,Rosetta Publications,1819-8643,1998-1392,2006,3801
